Battle Name,Description
Battle of Adwalton Moor,"The Battle of Adwalton Moor occurred on 30 June 1643 at Adwalton, West Yorkshire, during the First English Civil War. In the battle, the Royalists loyal to King Charles led by the Earl of Newcastle soundly defeated the Parliamentarians commanded by Lord Fairfax."
Battle of Aegospotami,"The Battle of Aegospotami (Greek: Μάχη στους Αιγός Ποταμούς) was a naval confrontation that took place in 405 BC and was the last major battle of the Peloponnesian War. In the battle, a Spartan fleet under Lysander destroyed the Athenian navy. This effectively ended the war, since Athens could not import grain or communicate with its empire without control of the sea."
Battle of Agincourt,"The Battle of Agincourt ( AJ-in-kor(t); French: Azincourt [azɛ̃kuʁ]) was an  English victory in the Hundred Years' War. It took place on 25 October 1415 (Saint Crispin's Day) near Azincourt, in northern France. The unexpected English victory against the numerically superior French army boosted English morale and prestige, crippled France, and started a new period of English dominance in the war that would last for 14 years until England was defeated by France in 1429 during the Siege of Orléans.
After several decades of relative peace, the English had resumed the war in 1415 amid the failure of negotiations with the French. In the ensuing campaign, many soldiers died from disease, and the English numbers dwindled; they tried to withdraw to English-held Calais but found their path blocked by a considerably larger French army. Despite the numerical disadvantage, the battle ended in an overwhelming victory for the English.
King Henry V of England led his troops into battle and participated in hand-to-hand fighting. King Charles VI of France did not command the French army as he suffered from psychotic illnesses and associated mental incapacity. The French were commanded by Constable Charles d'Albret and various prominent French noblemen of the Armagnac party.  This battle is notable for the use of the English longbow in very large numbers, with the English and Welsh archers comprising nearly 80 per cent of Henry's army. Henry's standard-bearer was William Harrington, he being an official Standard Bearer of England.
The Battle of Agincourt is one of England's most celebrated victories and was one of the most important English triumphs in the Hundred Years' War, along with the Battle of Crécy (1346) and Battle of Poitiers (1356). Perhaps the most notable example of a last stand of a heavily outnumbered force resulting in an outright victory, it continues to fascinate scholars and the general public into the modern day. It forms the backdrop to notable works such as William Shakespeare's play Henry V, written in 1599."
Battle of Agnadello,"The Battle of Agnadello, also known as Vailà, was one of the most significant battles of the War of the League of Cambrai and one of the major battles of the Italian Wars."
Battle of Agusan Hill,"Battle of Agusan Hill, May 14, 1900. Capt. Walter B. Elliott, CO of Company I, 40th Infantry Regiment USV, with 80 men proceeded to the village of Agusan, about 16 kilometers west of Cagayan de Misamis town proper, to dislodge about 500 guerillas who were entrenched on a hill with 200 rifles and shotguns. The attack was successful; 2 Americans were killed and 3 wounded; the Filipinos suffered 38 killed, including their commander, Capt. Vicente Roa. The Americans also captured 35 Remington rifles."
Battle of Ahvenanmaa,"The Battle of Gangut (Russian: Гангутское сражение; Finnish: Riilahden taistelu; Finland Swedish: Slaget vid Rilax; Swedish: Sjöslaget vid Hangöudd) took place on 27 JulyJul./ 7 August 1714Greg. during the Great Northern War (1700–1721), in the waters of Riilahti Bay, north of the Hanko Peninsula, near the site of the modern-day city of Hanko, Finland, between the Swedish Navy and Imperial Russian Navy. It was the first important victory of the Russian fleet in its history. It is commemorated in Russia as one of the Days of Military Honour."
Battle of Ain Jalut,"The Battle of Ain Jalut (Arabic: معركة عين جالوت, romanized: Ma'rakat ‘Ayn Jālūt), also spelled Ayn Jalut, was fought between the Bahri Mamluks of Egypt and the Mongol Empire on 3 September 1260 (25 Ramadan 658 AH) near the spring of Ain Jalut in southeastern Galilee in the Jezreel Valley.
Continuing the westward expansion of the Mongol Empire, the armies of Hulagu Khan captured and sacked Baghdad in 1258, along with the Ayyubid capital of Damascus sometime later. Hulagu sent envoys to Cairo demanding Qutuz surrender Egypt, to which Qutuz responded by killing the envoys and displaying their heads on the Bab Zuweila gate of Cairo. Shortly after this, Möngke Khan was slain in battle against the Southern Song. Hulagu returned to Mongolia with the bulk of his army to attend the kurultai in accordance with Mongol customs, leaving approximately 10,000 troops west of the Euphrates under the command of Kitbuqa.
Learning of these developments, Qutuz quickly advanced his army from Cairo towards Palestine. Kitbuqa sacked Sidon, before turning his army south towards the Spring of Harod to meet Qutuz' forces. Using hit-and-run tactics and a feigned retreat by Mamluk general Baibars, combined with a final flanking maneuver by Qutuz, the Mongol army was forced to retreat toward Bisan, after which the Mamluks led a final counterattack, which resulted in the deaths of many Mongols, including Kitbuqa himself.
The battle has been cited as the first time the Mongols were permanently prevented from expanding their influence; It also marked the first of two defeats the Mongols would face in their attempts to invade Egypt and the Levant, the other being the Battle of Marj al-Saffar in 1303."
Battle of Ajnadayn,"The Battle of Ajnadayn (Arabic: معركة أجنادين) was fought in July or August 634 (Jumada I or II, 13 AH), in a location close to Beit Guvrin in the Roman-era Palestine region (present-day Israel); it was the first major pitched battle between the Byzantine (Roman) Empire and the army of the Arab Rashidun Caliphate. The result of the battle was a decisive Muslim victory. The details of this battle are mostly known through Muslim sources, such as the ninth-century historian al-Waqidi."
Battle of Akraba (632),"The Battle of Yamama was fought in December 632 as part of the Ridda Wars against a rebellion within the Rashidun Caliphate in the region of al-Yamama (in present-day Saudi Arabia) between the forces of Abu Bakr and Musaylima, a self-proclaimed prophet."
Battle of Akroinon,"The Battle of Akroinon was fought at Akroinon or Akroinos (near modern Afyon) in Phrygia, on the western edge of the Anatolian plateau, in 740 between an Umayyad Arab army and the Byzantine forces. The Arabs had been conducting regular raids into Anatolia for the past century, and the 740 expedition was the largest in recent decades, consisting of three separate divisions. One division, 20,000 strong under Abdallah al-Battal and al-Malik ibn Shu'aib, was confronted at Akroinon by the Byzantines under the command of Emperor Leo III the Isaurian r. 717–741) and his son, the future Constantine V (r. 741–775). The battle resulted in a decisive Byzantine victory. Coupled with the Umayyad Caliphate's troubles on other fronts and the internal instability before and after the Abbasid Revolt, this put an end to major Arab incursions into Anatolia for three decades."
Battle of Al-Safra,"The Battle of Al-Safra took place in late 1811, when Tusun Pasha's forces engaged with Saudi forces led by Saud bin Abdulaziz. It was a resounding Saudi victory against the Ottoman forces."
Battle of Alalia,The naval Battle of Alalia took place between 540 BC and 535 BC off the coast of Corsica between Greeks and the allied Etruscans and Carthaginians. A Greek force of 60 Phocaean ships defeated a Punic-Etruscan fleet of 120 ships while emigrating to the western Mediterranean and the nearby colony of Alalia (now Aléria).
Battle of Alam el Halfa,"The Battle of Alam el Halfa took place between 30 August and 5 September 1942 south of El Alamein during the Western Desert Campaign of the Second World War. Panzerarmee Afrika (Generalfeldmarschall Erwin Rommel), attempted an envelopment of the British  Eighth Army (Lieutenant-General Bernard Montgomery). In Unternehmen Brandung (Operation Surf), the last big Axis offensive of the Western Desert Campaign, Rommel intended to defeat the Eighth Army before Allied reinforcements arrived.
Montgomery knew of Axis intentions through Ultra signals intercepts and left a gap in the southern sector of the front, knowing that Rommel planned to attack there and deployed the bulk of his armour and artillery around Alam el Halfa Ridge, 20 miles (32 km) behind the front. Unlike in previous engagements, Montgomery ordered that the tanks were to be used as anti-tank guns, remaining in their defensive positions on the ridge. When Axis attacks on the ridge failed and short on supplies, Rommel ordered a withdrawal. The 2nd New Zealand Division conducted Operation Beresford against Italian positions, which was a costly failure.
Montgomery did not exploit his defensive victory, preferring to continue the methodical build up of strength for his autumn offensive, the Second Battle of El Alamein. Rommel claimed that British air superiority determined the result, being unaware of Ultra. Rommel adapted to the increasing Allied dominance in the air by keeping his forces dispersed. With the failure at Alam Halfa, the Axis forces in Africa lost the initiative and Axis strategic aims in Africa were no longer possible."
Battle of Alamance,"The Battle of Alamance, which took place on May 16, 1771, was the final battle of the Regulator Movement, a rebellion in colonial North Carolina over issues of taxation and local control.  Named for nearby Great Alamance Creek, the battle took place in what was then Orange County and has since become Alamance County in the central Piedmont area, about 6 miles (9.7 km) south of present-day Burlington, North Carolina."
Battle of Albarracin,"The Battle of Albarracín took place in Albarracín and surrounding areas (Teruel) between 5 July and 11 August 1937, during the Spanish Civil War."
Battle of Aldenhoven (1794),"The Battle of Aldenhoven or Battle of the Roer (2 October 1794) saw a Republican French army commanded by Jean Baptiste Jourdan defeat a Habsburg army under François Sébastien Charles Joseph de Croix, Count of Clerfayt which was defending the line of the Roer River. A key crossing was won by the French right wing at Düren after heavy fighting. The Austrian retreat from the Roer conceded control of the west bank of the Rhine River to France. The battle occurred during the War of the First Coalition, part of a wider conflict called the Wars of the French Revolution. Aldenhoven is located in the state of North Rhine-Westphalia in Germany about 21 kilometres (13 mi) northeast of Aachen."
Battle of Alesia,"The Battle of Alesia or siege of Alesia (September 52 BC) was the climactic military engagement of the Gallic Wars, fought around the Gallic oppidum (fortified settlement) of Alesia in modern France, a major centre of the Mandubii tribe. It was fought by the Roman army of Julius Caesar against a confederation of Gallic tribes united under the leadership of Vercingetorix of the Arverni. It was the last major engagement between Gauls and Romans, and is considered one of Caesar's greatest military achievements and a classic example of siege warfare and investment; the Roman army built dual lines of fortifications—an inner wall to keep the besieged Gauls in, and an outer wall to keep the Gallic relief force out. The Battle of Alesia marked the end of Gallic independence in the modern day territory of France and Belgium.
The battle site was probably atop Mont Auxois, above modern Alise-Sainte-Reine in France, but this location, some have argued, does not fit Caesar's description of the battle. A number of alternatives have been proposed over time, among which only Chaux-des-Crotenay (in Jura in modern France) remains a challenger today.
The event is described by Caesar himself in his Commentarii de Bello Gallico as well as several later ancient authors (namely Plutarch and Cassius Dio). After the Roman victory, Gaul (very roughly modern France) was subdued, although Gallic territories north of Gallia Narbonensis would not become a Roman province until 27 BC. The Roman Senate granted Caesar a thanksgiving of 20 days for his victory in the Gallic War."
Battle of Alessandria,"The Battle of Alessandria or Battle of Castelazzo was a battle during the Florentine-Milanese Wars which was fought at Alessandria, Piedmont, Italy on 25 July 1391 between the mercenary army of Gian Galeazzo Visconti of Milan and that of the Jean III of Armagnac. It ended in victory for Milan."
Battle of Alexandria (1801),"The Battle of Alexandria, or Battle of Canope, was fought on 21 March 1801 between the army of Napoleon's French First Republic under General Jacques-François Menou and the British expeditionary corps under Sir Ralph Abercromby. The battle took place near the ruins of Nicopolis, on the narrow spit of land between the sea and Lake Abukir, along which the British troops had advanced towards Alexandria after the actions of Abukir on 8 March and Mandora on 13 March. The fighting was part of the French campaign in Egypt and Syria against the Ottoman Empire, which began in 1798."
Battle of Alfambra,"The Battle of Alfambra took place near Alfambra from 5 to 8 February 1938, during the Spanish Civil War, and was a part of the Battle of Teruel. After the conquest of Teruel by the Republican army, the Nationalists started a counteroffensive in order to reocuppy Teruel. On 5 February, a huge Nationalist force broke the republican lines north of Teruel towards the Alfambra River, took 7,000 republican prisoners and threatened the Republican forces in Teruel."
Battle of Alfarrobeira,"The Battle of Alfarrobeira (Portuguese pronunciation: [alfɐʁuˈβɐjɾɐ]) took place on 20 May 1449. It was a confrontation between the forces commanded by King Afonso V of Portugal and his uncle Afonso, Duke of Braganza, against the army of the rebellious Peter, Duke of Coimbra. The place was Vialonga, near Lisbon, at the margins of the creek of Alfarrobeira. The result was the clear defeat and death of the Duke of Coimbra and the establishment of the Braganzas as the most powerful House of Portugal."
Battle of Aljubarrota,"The Battle of Aljubarrota (Portuguese pronunciation: [alʒuβɐˈʁɔtɐ]; see Aljubarrota) was fought between the Kingdom of Portugal and the Crown of Castile on 14 August 1385. Forces commanded by King John I of Portugal and his general Nuno Álvares Pereira, with the support of English allies, opposed the army of King John I of Castile with its Aragonese and French allies, as well as Genoese mercenaries at São Jorge, between the towns of Leiria and Alcobaça, in central Portugal. The result was a decisive victory for the Portuguese, ruling out Castilian ambitions to the Portuguese throne, ending the 1383–85 Crisis and assuring John as King of Portugal.
Portuguese independence was safeguarded and a new dynasty, the House of Aviz, was established. Scattered border confrontations with Castilian troops would persist until the death of John I of Castile in 1390, but these posed no real threat to the new dynasty."
Battle of Alma,"The Battle of the Alma (short for Battle of the Alma River) took place during the Crimean War between an allied expeditionary force (made up of French, British, and Ottoman forces) and Russian forces defending the Crimean Peninsula on 20 September 1854. The allies had made a surprise landing in Crimea on 14 September. The allied commanders, Maréchal Jacques Leroy de Saint-Arnaud and Lord Raglan, then marched toward the strategically important port city of Sevastopol, 45 km (28 mi) away. Russian commander Prince Alexander Sergeyevich Menshikov rushed his available forces to the last natural defensive position before the city, the Alma Heights, south of the Alma River.
The allies made a series of disjointed attacks. The French turned the Russian left flank with an attack up cliffs that the Russians had considered unscalable. The British initially waited to see the outcome of the French attack, then twice unsuccessfully assaulted the Russians' main position on their right. Eventually, superior British rifle fire forced the Russians to retreat. With both flanks turned, the Russian position collapsed and they fled. The lack of cavalry meant that little pursuit occurred.
The battle cost the French roughly 1,600 casualties, the British 2,000, the Ottomans 503, and the Russians some 5,000."
Battle of Almansa,"The Battle of Almansa took place on 25 April 1707, during the War of the Spanish Succession. It was fought between an army loyal to Philip V of Spain, Bourbon claimant to the Spanish throne, and one supporting his Habsburg rival, Archduke Charles of Austria. The result was a decisive Bourbon victory that reclaimed most of eastern Spain for Philip.
The Bourbon army was commanded by the Duke of Berwick, illegitimate son of James II of England, while Habsburg forces were led by Henri de Massue, Earl of Galway, an exiled French Huguenot. This makes it ""probably the only battle in history in which the English forces were commanded by a Frenchman, the French by an Englishman."""
Battle of Almendralejo,"The Battle of Almendralejo was a battle and massacre in  Almendralejo, Spain, in August 1936, during the first stages of the Spanish Civil War."
Battle of Almonacid,"The Battle of Almonacid was fought on 11 August 1809 during the Peninsular War between Sébastiani's IV Corps of the French Peninsular Army, which King Joseph of Spain had withdrawn from the Battle of Talavera to defend Madrid, and the Spanish Army of La Mancha under General Venegas. After the decisive charges of Polish uhlans, the battle resulted in a French victory."
Battle of Ambarawa,"The Battle of Ambarawa (Indonesian: Palagan Ambarawa) took place between the recently created Indonesian Army and the British Army that occurred between 20 October and 15 December 1945 in Ambarawa, Indonesia."
Battle of Amberg,"The Battle of Amberg, fought on 24 August 1796, resulted in an Habsburg victory by Archduke Charles over a French army led by Jean-Baptiste Jourdan. This engagement marked a turning point in the Rhine campaign, which had previously seen French successes."
Battle of Amiens (1870),"The Battle of Amiens, also known as the Battle of Villers-Bretonneux, was fought on 27 November 1870 between French and Prussian forces during the Franco-Prussian War (1870–1871). It ended in a Prussian victory, forcing the French to retreat and allowing the Prussians to capture Amiens, France."
Battle of Amiens (1918),"The Battle of Amiens, also known as the Third Battle of Picardy (French: 3ème Bataille de Picardie), was the opening phase of the Allied offensive which began on 8 August 1918, later known as the Hundred Days Offensive, that ultimately led to the end of the First World War. Allied forces advanced over 11 kilometres (7 mi) on the first day, one of the greatest advances of the war, with Gen Henry Rawlinson's British Fourth Army (with 9 of its 19 divisions supplied by the fast moving Australian Corps of Lt Gen John Monash and Canadian Corps of Lt Gen Arthur Currie) and Gen Marie Eugène Debeney's French First Army playing the decisive role. The battle is also notable for its effects on both sides' morale and the large number of surrendering German forces. This led Erich Ludendorff to later describe the first day of the battle as ""the black day of the German Army"". Amiens was one of the first major battles involving armoured warfare."
Battle of Amphipolis,The Battle of Amphipolis was fought in 422 BC during the Peloponnesian War between Athens and Sparta. It was the culmination of events that began in 424 BC with the capture of Amphipolis by the Spartans.
Battle of Amstetten,"The Battle of Amstetten was a minor engagement during the War of the Third Coalition between the First French Empire and the alliance of Austria and Russia. It occurred on 5 November 1805, when the retreating Russo-Austrian troops, led by Mikhail Kutuzov, were intercepted by Marshal Joachim Murat's cavalry and a portion of Marshal Jean Lannes' corps.  Pyotr Bagration defended against the advancing French troops and allowed the Russian troops to retreat. This was the first fight in which a major part of the Russian Army opposed a significant number of French troops in the open. The total number of Russo-Austrian troops was around 6,700, while the French troops numbered roughly 10,000 troops. The Russo-Austrian forces suffered more casualties but were still able to successfully retreat."
